Porosity [-],Bulk Density [g/cm3],Saturated Thermal Conductivity [W/mK],Dry Soil Thermal Conductivity [W/mK],Saturated Hydraulic Conductivity [m/s],alpha [1/m], n [-],s_r [-],,,Dry Soil Thermal Conductivity [W/mK],,,,Porosity [-],,,,Saturated Hydraulic Conductivity [m/s],,,alpha [1/m]
0.6987951807,0.5863453815,0.723,0.209,2E+01,,,,,1.3293172691,0.661,,,0.02,0.89,,,0.22,1.03E-04,,,
0.6425702811,0.6224899598,1.05,0.394,2E+01,,,,,1.3534136546,0.556,,,0.2991967871,0.8895582329,,,0.1445783133,1E-04,,,
0.8072289157,0.3052208835,0.545,0.159,2E+01,,,,,1.3975903614,0.595,,,0.16,0.89,,,0.10,1.16E-04,,,
0.3253012048,1.3212851406,1.182,0.439,2E+01,,,,,1.40562249,0.443,,,0.21,0.89,,,0.1767068273,1E-04,,,
0.5220883534,0.8514056225,0.626,0.164,3E+01,,,,,1.4457831325,0.532,,,0.08,0.89,,,0.10,1.45E-04,,,
0.7991967871,0.3534136546,0.578,0.168,27,,,,,1.49,0.44,,,0.22,0.89,,,0.1184738956,2E-04,,,
0.6164658635,0.9357429719,0.935,0.295,3E+01,,,,,1.5421686747,0.658,,,0.19,0.89,,,0.20,1.67E-04,,,
0.8192771084,0.4136546185,0.667,0.202,3E+01,,,,,1.5502008032,0.672,,,0.17,0.89,,,0.15,1.98E-04,,,
0.5947791165,0.8429718876,0.812,0.265,2.95E+01,,,,,1.6317269076,0.765,,,0.1184738956,0.8955823293,,,0.1614457831,2.12E-04,,,
0.2289156627,1.5502008032,1.742,0.672,4E+01,,,,,1.6887550201,0.629,,,0.1767068273,0.8955823293,,,0.08,2.23E-04,,,
0.7128514056,0.6666666667,0.964,0.289,3.87E+01,,,,,1.77,0.57,,,0.10,0.90,,,0.24,2.39E-04,,,
0.534939759,1.0281124498,1.060,0.370,4E+01,,,,,1.8313253012,0.669,,,0.05,0.90,,,0.1485943775,2E-04,,,
0.7690763052,0.3253012048,0.541,0.162,5E+01,,,,,1.85,0.55,,,0.1807228916,0.9016064257,,,0.11,2.50E-04,,,
0.8092369478,0.4297188755,0.597,0.174,4.90E+01,,,,,1.8554216867,0.508,,,0.16,0.90,,,0.2690763052,3E-04,,,
0.8172690763,0.3734939759,0.593,0.167,6E+01,,,,,1.8995983936,0.810,,,0.22,0.90,,,0.17,2.81E-04,,,
0.8052208835,0.4417670683,0.645,0.186,9E+01,,,,,,,,,0.20,0.90,,,0.01,3.13E-04,,,
0.8032128514,0.2771084337,0.534,0.154,9E+01,,,,,,,,,0.18,0.90,,,0.156626506,4E-04,,,
0.8273092369,0.1847389558,0.553,0.156,1E+02,,,,,,,,,0.18,0.91,,,0.09,4.02E-04,,,
0.6907630522,0.3333333333,0.542,0.153,1E+02,,,,,,,,,0.06,0.91,,,0.08,4.05E-04,,,
0.8465863454,0.3080321285,0.639,0.193,1.28E+02,,,,,,,,,0.07,0.91,,,0.05,4.25E-04,,,
0.7751004016,0.2570281124,0.565,0.158,1E+02,,,,,,,,,0.20,0.91,,,0.37,4.50E-04,,,
0.9196787149,0.2088353414,0.570,0.161,1.35E+02,,,,,,,,,0.17,0.91,,,0.05,6.38E-04,,,
0.8253012048,0.2329317269,0.558,0.154,2E+02,,,,,,,,,0.16,0.91,,,0.06,6.91E-04,,,
0.8273092369,0.2329317269,0.571,0.162,2E+02,,,,,,,,,0.19,0.91,,,0.09,7.42E-04,,,
0.8453815261,0.2329317269,0.565,0.166,2E+02,,,,,,,,,0.16,0.91,,,0.11,7.68E-04,,,
0.875502008,0.1726907631,0.556,0.152,2E+02,,,,,,,,,0.05,0.92,,,0.20,7.69E-04,,,
0.6787148594,0.3534136546,0.567,0.155,2E+02,,,,,,,,,0.01,0.92,,,0.07,8.31E-04,,,
0.7670682731,0.343373494,0.547,0.162,2E+02,,,,,,,,,0.17,0.92,,,0.09,1.12E-03,,,
0.9397590361,0.1184738956,0.579,0.156,3E+02,,,,,,,,,0.17,0.92,,,0.05,1.22E-03,,,
1.2730923695,0.1967871486,0.582,0.165,3E+02,,,,,,,,,0.2088353414,0.9196787149,,,0.08,1.23E-03,,,
